------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	K         39.10200000
------------------------------


----------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N       K
     25. CH2OS  => 0.8H2O + 0.2CO + 0.2H2 + 0.8CHAR 
         k:       6.000000e+10	    0.00      50000.00


     26. C2H6S  => C2H6 
         k:       1.000000e+11	    0.00      52000.00


     27. CH4S  => CH4 
         k:       1.000000e+11	    0.00      53000.00


     28. C2H4S  => C2H4 
         k:       1.000000e+11	    0.00      54000.00


     29. C6H5OHS  => C6H5OH 
         k:       1.500000e+12	    0.00      55000.00


     30. COH2S  => 0.2H2O + 0.4CO + 0.8H2 + 0.2CHAR + 0.4COSTIFFS 
         k:       1.000000e+09	    0.00      59000.00


     31. COSTIFFS  => 0.8CO + 0.2CHARO 
         k:       1.800000e+08	    0.00      65000.00


     32. H2S  => H2 
         k:       1.800000e+08	    0.00      70000.00


     33. LVGS  => LVG 
         k:       9.500000e-02	    1.00      10000.00


     34. LVGS  => LVG 
         k:       6.000000e+11	    0.00      45000.00


     35. MOIST  => H2O 
         k:       6.000000e+02	   -0.50      11525.00


