    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    8. OH                       1.837277e+05     2.197291e+05     1.000000e+03     3.975852e+00    -2.285553e-03     2.167214e-06    -1.199755e-09     3.167673e-13    -3.553973e-02     2.845817e+00     1.097238e-03    -1.445606e-07     1.363666e-11    -5.784556e-16     5.803399e+00
    9. H2O2                     2.345104e+05     2.975553e+05     1.000000e+03     4.238542e+00    -2.496109e-04     7.992895e-06    -6.897332e-09     2.074416e-12     3.588501e+00     4.540175e+00     4.159710e-03    -6.543839e-07     6.694121e-11    -2.887731e-15     8.558817e-01
   10. HO2                      2.291381e+05     2.788063e+05     1.000000e+03     4.262512e+00    -4.456420e-03     1.025825e-05    -7.859800e-09     2.264036e-12     3.882237e+00     4.105640e+00     2.040468e-03    -1.829388e-07     6.199101e-12     1.247046e-16     3.308081e+00
   11. CO                       1.976451e+05     2.345473e+05     1.000000e+03     3.595084e+00    -7.211969e-04     6.411912e-07     2.174764e-10    -2.054287e-13     3.443556e+00     3.033973e+00     1.373281e-03    -2.482225e-07     2.700938e-11    -1.213329e-15     6.100761e+00
   12. CO2                      2.137641e+05     2.692969e+05     1.000000e+03     2.206643e+00     1.009701e-02    -4.981694e-06     1.823852e-09    -3.193349e-13     1.052619e+01     4.635375e+00     2.745595e-03    -4.991412e-07     5.367120e-11    -2.305047e-15    -1.928876e+00
   13. HOCO                     2.517130e+05     3.197688e+05     1.000000e+03     2.922079e+00     7.624539e-03     1.649422e-06    -3.571174e-09     1.278968e-12     1.129259e+01     5.392062e+00     4.112215e-03    -7.409745e-07     7.995849e-11    -3.597578e-15    -2.235291e+00
   14. CH4                      1.863520e+05     2.483061e+05     1.000000e+03     5.149115e+00    -1.366220e-02     2.457270e-05    -1.614156e-08     4.165086e-12    -4.638488e+00     1.653262e+00     1.002631e-02    -1.658306e-06     1.788277e-10    -7.867419e-15     9.905063e+00
   15. CH3                      1.939881e+05     2.511186e+05     1.000000e+03     3.657180e+00     2.126598e-03     2.729194e-06    -2.206033e-09     6.164269e-13     1.673535e+00     2.978121e+00     5.797852e-03    -9.877900e-07     1.024326e-10    -4.479354e-15     4.722480e+00
   16. CH2                      1.944003e+05     2.414845e+05     1.000000e+03     3.717578e+00     1.273913e-03     1.086736e-06    -1.162862e-09     4.130222e-13     1.752979e+00     3.146319e+00     3.036713e-03    -4.982372e-07     5.016119e-11    -2.143339e-15     4.723417e+00
   17. CH2(S)                   1.892023e+05     2.348013e+05     1.000000e+03     4.193313e+00    -2.331052e-03     4.078382e-06    -2.209953e-09     4.830830e-13    -7.467343e-01     3.135017e+00     2.895939e-03    -4.083340e-07     3.785757e-11    -1.590657e-15     4.060306e+00
   18. CH3O2H                   2.758692e+05     3.867586e+05     1.000000e+03     2.905409e+00     1.749947e-02     2.641218e-06    -8.427576e-09     3.359205e-12     1.137420e+01     7.765381e+00     8.614997e-03    -1.490035e-06     1.562127e-10    -6.883481e-15    -1.439927e+01
